电影名,电影年份,电影封面,导演,得分,评价人数,精彩评论
指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,(2001),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2197698335.jpg,彼得·杰克逊,9.1,861429人评价,传说的开始。
黑客帝国 The Matrix,(1999),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,莉莉·沃卓斯基 / 拉娜·沃卓斯基,9.1,850728人评价,视觉革命。
教父2 The Godfather: Part II,(1974),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,弗朗西斯·福特·科波拉,9.3,563022人评价,优雅的孤独。
狮子王 The Lion King,(1994),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2896590826.jpg,罗杰·阿勒斯 / 罗伯·明可夫,9.1,857737人评价,动物版《哈姆雷特》。
辩护人 변호인,(2013),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,杨宇硕,9.2,596745人评价,电影的现实意义大过电影本身。
饮食男女 飲食男女,(1994),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,李安,9.2,632318人评价,人生不能像做菜，把所有的料都准备好了才下锅。
搏击俱乐部 Fight Club,(1999),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910931622.jpg,大卫·芬奇,9.0,859790人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
本杰明·巴顿奇事 The Curious Case of Benjamin Button,(2008),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,大卫·芬奇,9.0,999301人评价,在时间之河里感受溺水之苦。
美丽心灵 A Beautiful Mind,(2001),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,朗·霍华德,9.1,780355人评价,爱是一切逻辑和原由。
穿条纹睡衣的男孩 The Boy in the Striped Pajamas,(2008),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg,马克·赫尔曼,9.2,576266人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
窃听风暴 Das Leben der Anderen,(2006),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,弗洛里安·亨克尔·冯·多纳斯马尔克,9.2,573041人评价,别样人生。
情书 Love Letter,(1995),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.jpg,岩井俊二,8.9,1134338人评价,暗恋的极致。
"两杆大烟枪 Lock, Stock and Two Smoking Barrels",(1998),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,盖·里奇,9.1,603523人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
西西里的美丽传说 Malèna,(2000),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg,朱塞佩·托纳多雷,8.9,990240人评价,美丽无罪。
看不见的客人 Contratiempo,(2016),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,奥里奥尔·保罗,8.8,1291504人评价,你以为你以为的就是你以为的。
音乐之声 The Sound of Music,(1965),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,罗伯特·怀斯,9.1,612511人评价,用音乐化解仇恨，让歌声串起美好。
阿凡达 Avatar,(2009),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2896589067.jpg,詹姆斯·卡梅隆,8.8,1441611人评价,绝对意义上的美轮美奂。
拯救大兵瑞恩 Saving Private Ryan,(1998),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,史蒂文·斯皮尔伯格,9.1,657171人评价,美利坚精神输出大片No1.
哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,(2011),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg,大卫·叶茨,9.0,847614人评价,10年的完美句点。
飞越疯人院 One Flew Over the Cuckoo's Nest,(1975),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,米洛斯·福尔曼,9.1,554429人评价,自由万岁。
小鞋子 بچه های آسمان,(1997),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg,马基德·马基迪,9.2,417782人评价,奔跑的孩子是天使。
沉默的羔羊 The Silence of the Lambs,(1991),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,乔纳森·戴米,8.9,905257人评价,安东尼·霍普金斯的顶级表演。
布达佩斯大饭店 The Grand Budapest Hotel,(2014),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2896589466.jpg,韦斯·安德森,8.9,956178人评价,小清新的故事里注入了大历史的情怀。
功夫,(2004),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg,周星驰,8.8,1157789人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
禁闭岛 Shutter Island,(2010),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.jpg,马丁·斯科塞斯,8.9,995047人评价,昔日翩翩少年，今日大腹便便。
蝴蝶效应 The Butterfly Effect,(2004),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,埃里克·布雷斯 / J·麦基·格鲁伯,8.9,953999人评价,人的命运被自己瞬间的抉择改变。
致命魔术 The Prestige,(2006),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,克里斯托弗·诺兰,8.9,874979人评价,孪生蝙蝠侠大战克隆金刚狼。
哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban,(2004),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg,阿方索·卡隆,8.9,748021人评价,不一样的导演，不一样的哈利·波特。
心灵捕手 Good Will Hunting,(1997),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,格斯·范·桑特,8.9,726810人评价,人生中应该拥有这样的一段豁然开朗。
超脱 Detachment,(2011),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,托尼·凯耶,9.0,616722人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
海豚湾 The Cove,(2009),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg,路易·西霍尤斯,9.3,360760人评价,海豚的微笑，是世界上最高明的伪装。
低俗小说 Pulp Fiction,(1994),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,昆汀·塔伦蒂诺,8.9,848765人评价,故事的高级讲法。
春光乍泄 春光乍洩,(1997),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,王家卫,9.0,642186人评价,爱情纠缠，男女一致。
摩登时代 Modern Times,(1936),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg,查理·卓别林,9.3,307017人评价,大时代中的人生，小人物的悲喜。
美国往事 Once Upon a Time in America,(1984),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,赛尔乔·莱昂内,9.2,418717人评价,往事如烟，无处祭奠。
喜剧之王 喜劇之王,(1999),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg,周星驰 / 李力持,8.8,985407人评价,我是一个演员。
致命ID Identity,(2003),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg,詹姆斯·曼高德,8.9,840473人评价,最不可能的那个人永远是最可能的。
杀人回忆 살인의 추억,(2003),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1633113220.jpg,奉俊昊,8.9,729407人评价,关于连环杀人悬案的集体回忆。
七宗罪 Se7en,(1995),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg,大卫·芬奇,8.8,955980人评价,警察抓小偷，老鼠玩死猫。
红辣椒 パプリカ,(2006),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p456825720.jpg,今敏,9.1,476543人评价,梦的勾结。
