from_url,to_url
https://accounts.douban.com/passport/login?source=movie,https://www.douban.com/accounts/connect/sina_weibo/?from=movie&redir=https%3A//www.douban.com&fallback=
https://accounts.douban.com/passport/login?source=movie,https://www.douban.com/mobile/
https://www.douban.com/doubanapp/app?channel=qipao,https://www.douban.com/about/device_info
https://www.douban.com/doubanapp/app?channel=qipao,https://www.douban.com/about/privacy
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://img1.doubanio.com/view/treasury_image/raw/public/f8411cb3835cfa8.jpg
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://market.douban.com/people/member
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://fm.douban.com/?from_=shire_top_nav
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://read.douban.com/?dcs=top-nav&dcm=douban
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://www.douban.com/doubanapp/app?channel=qipao
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://market.douban.com/categories?name=stationery
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://www.douban.com/doubanapp/app?channel=top-nav
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://www.douban.com/location
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://img1.doubanio.com/view/treasury_image/raw/public/1fde6ae69aac6e0.jpg
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://time.douban.com/?dt_time_source=douban-web_top_nav
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://music.douban.com
